HSR,train,bus,car
75072.56183361635,107804.48100194866,72530.02587378131,127180.66915558976
60933.604475504995,108499.64326826418,75567.76397634175,127799.13074202549
50132.12397398497,109105.91890011134,78123.99120309406,128346.64796025629
41970.81150783282,109626.7358034067,80167.16501075559,128828.79346293623
35792.82340007359,110070.43255411687,81762.33828214285,129252.20915863891
31074.52322041452,110446.37347970063,83002.02141683394,129622.97683736424
27428.936801399916,110763.41307803491,83970.62141639154,129946.26159253942
24577.47295617643,111029.7730975389,84734.83951579651,130226.73628766218
22320.075725907453,111253.08888803072,85344.6034232428,130468.97158357469
20512.16427810504,111440.29765909803,85836.64824877937,130677.50404826687
19048.29684693871,111597.49892742507,86237.98974213233,130856.7064089164
