HSR,train,bus,car
28837.730909929545,107595.307583368,126261.40364930904,126779.84543585646
29296.804689917437,108194.15837040878,116162.39252254934,127380.13700842134
29752.031394829053,108780.85704639659,106769.92398072874,127966.23179616858
30201.34598851394,109353.12609168682,98119.89067422245,128536.35883827724
30642.8091240207,109908.92703305575,90206.85394733584,129089.02309526631
31074.52322041452,110446.37347970063,83002.02141683394,129622.97683736424
31494.526184895385,110963.66843742935,76464.99258157444,130137.17881956852
31900.71698332638,111459.10932592173,70550.279698523,130630.76193215963
32290.86450483063,111931.16662778167,65210.62980648136,131103.02377394048
32662.719286905383,112378.60604981412,60398.694676951076,131553.4416542273
33014.20256150758,112800.60677883464,56067.95478817232,131981.70120188352
