HSR,train,bus,car
29013.99751171863,100847.98610374396,76583.49815472229,196125.4872758648
29564.98862368195,103079.8392128756,78363.41843477383,178196.88187460936
30042.470923183308,105149.43353648964,79841.56222781686,163099.74828798458
30449.45662608503,107061.37242782372,81077.18685361427,150252.72129558132
30791.239522696935,108823.66285210688,82118.24089731906,139208.06479488107
31074.52322041452,110446.37347970063,83002.02141683394,129622.97683736424
31306.44283688492,111940.44147058846,83757.51731540757,121233.85481777361
31493.782885670153,113316.77677157239,84407.50534523021,113836.40077614639
31642.580812564214,114585.73794173704,84970.09254973002,107270.69305970645
31758.062316865515,115756.89922318346,85459.81820471492,101410.06082299346
31844.76134531282,116838.9898727488,85888.45189785918,96152.84733994713
