HSR,train,bus,car
-1176.2861205816444,42220.0968497141,-4073.9469428507728,-6039.748011112708
-879.8962460337025,31597.67181042423,-2989.1096618519223,-4715.339057114092
-616.6902387539994,22270.162790855524,-2065.2625836498482,-3449.8438811657543
-384.1561640312211,14008.46051322193,-1274.4386446386488,-2242.854167187179
-179.5422227380077,6632.286673016657,-592.5692414735822,-1093.3854518643493
0.0,0.0,0.0,0.0
157.27201814171713,-6000.303223694689,518.9487182430312,1039.0664036398375
294.9038165541606,-11457.814885487678,976.6995086512034,2025.7858592255361
415.26902262461226,-16444.35171644947,1383.1133442984428,2962.241013595907
520.4448218750149,-21018.366886982287,1746.067954874874,3850.5547385838727
612.2076289762663,-25227.966535395768,2071.910584013269,4692.845965410626
