HSR,train,bus,car
29898.237099832877,152666.47032941473,78928.07447398317,123583.22882625154
30194.62697438082,142044.04529012486,80012.91175498202,124907.63778025015
30457.832981660522,132716.53627055616,80936.7588331841,126173.13295619849
30690.3670563833,124454.83399292256,81727.5827721953,127380.12267017706
30894.980997676514,117078.66015271729,82409.45217536036,128529.5913854999
31074.52322041452,110446.37347970063,83002.02141683394,129622.97683736424
31231.79523855624,104446.07025600594,83520.97013507698,130662.04324100408
31369.427036968682,98988.55859421295,83978.72092548515,131648.76269658978
31489.792243039134,94002.02176325116,84385.13476113239,132585.21785096015
31594.968042289536,89428.00659271835,84748.08937170882,133473.53157594812
31686.730849390788,85218.40694430486,85073.93200084721,134315.82280277487
