All price change %,All traffic volume change for voting,All traffic volume change for voting %,HSR traffic volume change for voting,HSR traffic volume change for voting %,train traffic volume change for voting,train traffic volume change for voting %,bus traffic volume change for voting,bus traffic volume change for voting %,car traffic volume change for voting,car traffic volume change for voting %
-50%,72202,6.15,-3023,-0.26,27095,2.31,44079,3.75,4050,0.34
-40%,56750,4.83,-2259,-0.19,21032,1.79,34523,2.94,3454,0.29
-30%,41751,3.55,-1569,-0.13,15315,1.3,25260,2.15,2744,0.23
-20%,27263,2.32,-958,-0.08,9919,0.84,16375,1.39,1928,0.16
-10%,13335,1.13,-434,-0.04,4821,0.41,7937,0.68,1010,0.09
0%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10%,-12719,-1.08,341,0.03,-4563,-0.39,-7402,-0.63,-1096,-0.09
20%,-24816,-2.11,590,0.05,-8884,-0.76,-14251,-1.21,-2271,-0.19
30%,-36297,-3.09,749,0.06,-12981,-1.1,-20548,-1.75,-3517,-0.3
40%,-47177,-4.02,822,0.07,-16867,-1.44,-26304,-2.24,-4827,-0.41
50%,-57478,-4.89,813,0.07,-20556,-1.75,-31540,-2.68,-6195,-0.53
